"HolderAddress","Balance","PendingBalanceUpdate"
"0xc20bd2b68330824e9d863b18315f2faa31ce6711","24,179,344.0045","No"
"0x0cde85455f818cb9aad901e5f2df9676cb3ddbf7","24,094,232.72","No"
"0x9abb5b47af0cc1b4f2944a6186c3be700ca6ffcd","23,928,342.29","No"
"0xf8fe4da6c88f4265eed0bd1043054656498ec8b2","23,899,639.125197404556708484","No"
"0x11eb3bd628f316c0ca8ff607bb830f68b0d1665b","23,631,818.5555","No"
"0xf0b9f0e7e59d72ba2d31d1260c51fd4b573da298","23,620,047.4358","No"
"0x6fd9b24291c77994ae601d10bf1196322bd3e5e9","23,564,648.51","No"
"0xd80959a4e4a1aabc9a9bedd2c3dd49f3ef3e9eb1","23,512,081.2678","No"
"0xdc9c759db06fe588c97d7f8511581479be437e39","23,355,271.67","No"
"0xf861ae0e236cbab43c73c7481feca08a46ca1a21","23,321,700.3","No"
"0x5a4479a2500f47d36e9b6093fee433109c18e981","23,307,650.5106575927","No"
"0x1e600795c09ac1627d438d52a73c4b1acc108e85","23,268,323.62916033","No"
"0x0b2730d0c0fe9102e205684b44eec1ff06156c2a","23,128,616.99","No"
"0x8e6b5a1a227d92e9de97b3f295ef966f0fb7e28f","22,931,146.688","No"
"0xc4a9530878bbe33a81b865f2c9fa20f380c40367","22,881,180","No"
"0x0874659a31408c0407513dc7be2535726476fbbd","22,509,353.42","No"
"0xbcdbf4e1a3ee2d016b5940daaf6d228e6728ea54","22,313,401.034","No"
"0x909b4e9b330dfac4cea54b1cca08194fce628402","22,050,000","No"
"0x5ca69a8a9be372139a2fb55798bf4d3125d94f48","21,786,017.86861475","No"
"0x8854d91ae8ae9c3686d68c79f2923356c6f8ae33","21,530,972.488","No"
"0x5be4a3bf1a6727bb754c9e23462c8243dd4937d0","21,526,303.4604411","No"
"0x87954f0f47407afd79d3779421ef091269dbaaa7","21,419,373.17472695","No"
"0xb3d1c416587311388755851425a46ec209f3a337","21,240,772.10926591","No"
"0x7bfda0775cf52dc27846558ee858c63fb94bc5d3","21,209,719.6","No"
